#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         4.93552      8.8654e-07      8.8654e-07      8.8654e-07
         5.24807      7.5861e-07      7.5861e-07      7.5861e-07
         5.58042     6.48868e-07     6.48868e-07     6.48868e-07
         5.93381     5.54774e-07     5.54774e-07     5.54774e-07
         6.30957     4.74135e-07     4.74135e-07     4.74135e-07
         6.70914     4.05058e-07     4.05058e-07     4.05058e-07
           7.134     3.45912e-07     3.45912e-07     3.45912e-07
         7.58578     2.95292e-07     2.95292e-07     2.95292e-07
         8.06616     2.51988e-07     2.51988e-07     2.51988e-07
         8.57696     2.14957e-07     2.14957e-07     2.14957e-07
         9.12011     1.83303e-07     1.83303e-07     1.83303e-07
         9.69765     1.56258e-07     1.56258e-07     1.56258e-07
         10.3118     1.33158e-07     1.33158e-07     1.33158e-07
         10.9648     1.13436e-07     1.13436e-07     1.13436e-07
         11.6591      9.6604e-08      9.6604e-08      9.6604e-08
         12.3975     8.22439e-08     8.22439e-08     8.22439e-08
         13.1826      6.9997e-08      6.9997e-08      6.9997e-08
         14.0174     5.95559e-08     5.95559e-08     5.95559e-08
          14.905     5.06574e-08     5.06574e-08     5.06574e-08
         15.8489     4.30761e-08     4.30761e-08     4.30761e-08
         16.8526     3.66192e-08     3.66192e-08     3.66192e-08
         17.9198     3.11215e-08     3.11215e-08     3.11215e-08
         19.0546     2.64422e-08     2.64422e-08     2.64422e-08
         20.2613     2.24604e-08     2.24604e-08     2.24604e-08
         21.5443     1.90734e-08     1.90734e-08     1.90734e-08
         22.9087      1.6193e-08      1.6193e-08      1.6193e-08
         24.3594     1.37442e-08     1.37442e-08     1.37442e-08
          25.902     1.16629e-08     1.16629e-08     1.16629e-08
         27.5423     9.89446e-09     9.89446e-09     9.89446e-09
         29.2864     8.39219e-09     8.39219e-09     8.39219e-09
         31.1411      7.1164e-09      7.1164e-09      7.1164e-09
         33.1131      6.0332e-09      6.0332e-09      6.0332e-09
         35.2101     5.11376e-09     5.11376e-09     5.11376e-09
         37.4398     4.33351e-09     4.33351e-09     4.33351e-09
         39.8107     3.67154e-09     3.67154e-09     3.67154e-09
         42.3318     3.11005e-09     3.11005e-09     3.11005e-09
         45.0125     2.63389e-09     2.63389e-09     2.63389e-09
          47.863      2.2302e-09      2.2302e-09      2.2302e-09
          50.894     1.88801e-09     1.88801e-09     1.88801e-09
          54.117     1.59802e-09     1.59802e-09     1.59802e-09
          57.544     1.35231e-09     1.35231e-09     1.35231e-09
         61.1881     1.14418e-09     1.14418e-09     1.14418e-09
         65.0629     9.67904e-10     9.67904e-10     9.67904e-10
         69.1831     8.18641e-10     8.18641e-10     8.18641e-10
         73.5642     6.92275e-10     6.92275e-10     6.92275e-10
         78.2228     5.85316e-10     5.85316e-10     5.85316e-10
         83.1764     4.94799e-10     4.94799e-10     4.94799e-10
         88.4437     4.18211e-10     4.18211e-10     4.18211e-10
         94.0445     3.53421e-10     3.53421e-10     3.53421e-10
             100     2.98621e-10     2.98621e-10     2.98621e-10
         106.333     2.52279e-10     2.52279e-10     2.52279e-10
         113.066     2.13095e-10     2.13095e-10     2.13095e-10
         120.226      1.7997e-10      1.7997e-10      1.7997e-10
          127.84     1.51972e-10     1.51972e-10     1.51972e-10
         135.936     1.28311e-10     1.28311e-10     1.28311e-10
         144.544     1.08318e-10     1.08318e-10     1.08318e-10
         153.697     9.14277e-11     9.14277e-11     9.14277e-11
         163.431     7.71603e-11     7.71603e-11     7.71603e-11
          173.78     6.51104e-11     6.51104e-11     6.51104e-11
         184.785      5.4935e-11      5.4935e-11      5.4935e-11
         196.487     4.63436e-11     4.63436e-11     4.63436e-11
          208.93     3.90908e-11     3.90908e-11     3.90908e-11
          222.16     3.29688e-11     3.29688e-11     3.29688e-11
         236.229     2.78021e-11     2.78021e-11     2.78021e-11
         251.189     2.34422e-11     2.34422e-11     2.34422e-11
         267.096     1.97636e-11     1.97636e-11     1.97636e-11
          284.01     1.66602e-11     1.66602e-11     1.66602e-11
         301.995     1.40425e-11     1.40425e-11     1.40425e-11
         321.119     1.18347e-11     1.18347e-11     1.18347e-11
         341.455      9.9729e-12      9.9729e-12      9.9729e-12
         363.078     8.40302e-12     8.40302e-12     8.40302e-12
         386.071     7.07948e-12     7.07948e-12     7.07948e-12
         410.519     5.96375e-12     5.96375e-12     5.96375e-12
         436.516     5.02332e-12     5.02332e-12     5.02332e-12
         464.159     4.23074e-12     4.23074e-12     4.23074e-12
         493.552     3.56283e-12     3.56283e-12     3.56283e-12
         524.807     3.00006e-12     3.00006e-12     3.00006e-12
         558.042     2.52592e-12     2.52592e-12     2.52592e-12
         593.381      2.1265e-12      2.1265e-12      2.1265e-12
         630.957     1.79007e-12     1.79007e-12     1.79007e-12
         670.914     1.50671e-12     1.50671e-12     1.50671e-12
           713.4     1.26809e-12     1.26809e-12     1.26809e-12
         758.578     1.06715e-12     1.06715e-12     1.06715e-12
         806.616     8.97972e-13     8.97972e-13     8.97972e-13
         857.696     7.55543e-13     7.55543e-13     7.55543e-13
         912.011     6.35647e-13     6.35647e-13     6.35647e-13
         969.765     5.34729e-13     5.34729e-13     5.34729e-13
         1031.18     4.49793e-13     4.49793e-13     4.49793e-13
         1096.48     3.78315e-13     3.78315e-13     3.78315e-13
         1165.91     3.18169e-13     3.18169e-13     3.18169e-13
         1239.75     2.67562e-13     2.67562e-13     2.67562e-13
         1318.26     2.24985e-13     2.24985e-13     2.24985e-13
         1401.74     1.89168e-13     1.89168e-13     1.89168e-13
          1490.5     1.59039e-13     1.59039e-13     1.59039e-13
         1584.89     1.33699e-13     1.33699e-13     1.33699e-13
         1685.26     1.12387e-13     1.12387e-13     1.12387e-13
         1791.98     9.44643e-14     9.44643e-14     9.44643e-14
         1905.46     7.93939e-14     7.93939e-14     7.93939e-14
         2026.13     6.67226e-14     6.67226e-14     6.67226e-14
         2154.43     5.60694e-14     5.60694e-14     5.60694e-14
         2290.87     4.71135e-14     4.71135e-14     4.71135e-14
         2435.94     3.95852e-14     3.95852e-14     3.95852e-14
          2590.2     3.32575e-14     3.32575e-14     3.32575e-14
         2754.23     2.79392e-14     2.79392e-14     2.79392e-14
         2928.64     2.34696e-14     2.34696e-14     2.34696e-14
         3114.11     1.97137e-14     1.97137e-14     1.97137e-14
         3311.31     1.65577e-14     1.65577e-14     1.65577e-14
         3521.01      1.3906e-14      1.3906e-14      1.3906e-14
         3743.98     1.16782e-14     1.16782e-14     1.16782e-14
         3981.07     9.80657e-15     9.80657e-15     9.80657e-15
         4233.18     8.23438e-15     8.23438e-15     8.23438e-15
         4501.25     6.91379e-15     6.91379e-15     6.91379e-15
          4786.3      5.8046e-15      5.8046e-15      5.8046e-15
          5089.4     4.87305e-15     4.87305e-15     4.87305e-15
          5411.7     4.09074e-15     4.09074e-15     4.09074e-15
          5754.4      3.4338e-15      3.4338e-15      3.4338e-15
         6118.81     2.88218e-15     2.88218e-15     2.88218e-15
         6506.29     2.41903e-15     2.41903e-15     2.41903e-15
         6918.31     2.03018e-15     2.03018e-15     2.03018e-15
         7356.42     1.70373e-15     1.70373e-15     1.70373e-15
         7822.28     1.42969e-15     1.42969e-15     1.42969e-15
         8317.64     1.19966e-15     1.19966e-15     1.19966e-15
         8844.37     1.00658e-15     1.00658e-15     1.00658e-15
         9404.45     8.44522e-16     8.44522e-16     8.44522e-16
